===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2024-05-16 16:46:33
count workspace : c:\Users\marti\Desktop\quizontwitch
total files : 149
total code lines : 13221
total comment lines : 233
total blank lines : 660

.editorconfig, code is 1, comment is 0, blank is 0.
.gitignore, code is 32, comment is 0, blank is 16.
client\.env, code is 0, comment is 0, blank is 0.
client\.eslintrc.cjs, code is 18, comment is 0, blank is 0.
client\.gitignore, code is 14, comment is 9, blank is 2.
client\.prettierrc, code is 11, comment is 0, blank is 0.
client\index.html, code is 16, comment is 0, blank is 0.
client\package-lock.json, code is 5149, comment is 0, blank is 80.
client\package.json, code is 51, comment is 0, blank is 0.
client\postcss.config.js, code is 6, comment is 0, blank is 0.
client\public\favicon.ico, it is a binary file.
client\public\react.svg, code is 1, comment is 0, blank is 0.
client\public\vite.svg, code is 1, comment is 0, blank is 0.
client\README.md, code is 21, comment is 4, blank is 8.
client\src\App.tsx, code is 24, comment is 0, blank is 4.
client\src\assets\audio\correct.mp3, it is a binary file.
client\src\assets\audio\levelUp.mp3, it is a binary file.
client\src\assets\images\initialsLogo.svg, code is 3, comment is 0, blank is 0.
client\src\assets\images\logo.svg, code is 3, comment is 0, blank is 0.
client\src\assets\images\old_initialsLogo.svg, code is 3, comment is 0, blank is 0.
client\src\assets\images\podium.svg, code is 3, comment is 0, blank is 0.
client\src\assets\styles\css\output.css, code is 3, comment is 0, blank is 0.
client\src\assets\styles\scss\_colors.scss, code is 1, comment is 0, blank is 0.
client\src\assets\styles\scss\index.scss, code is 27, comment is 2, blank is 7.
client\src\components\button.tsx, code is 175, comment is 24, blank is 23.
client\src\components\buttonDivider.tsx, code is 36, comment is 0, blank is 6.
client\src\components\CommandNavigation.tsx, code is 252, comment is 7, blank is 20.
client\src\components\dialog.tsx, code is 93, comment is 0, blank is 9.
client\src\components\divider.tsx, code is 24, comment is 0, blank is 2.
client\src\components\dropdown.tsx, code is 144, comment is 16, blank is 34.
client\src\components\headline.tsx, code is 31, comment is 0, blank is 5.
client\src\components\link.tsx, code is 17, comment is 7, blank is 2.
client\src\components\pagination.tsx, code is 93, comment is 0, blank is 6.
client\src\components\text.tsx, code is 34, comment is 0, blank is 6.
client\src\constants\AuthToken.ts, code is 2, comment is 0, blank is 1.
client\src\constants\StatusCodes.ts, code is 18, comment is 0, blank is 2.
client\src\context\languageContext.tsx, code is 38, comment is 9, blank is 9.
client\src\hooks\useAuth.ts, code is 12, comment is 5, blank is 4.
client\src\hooks\useLocalStorage.ts, code is 16, comment is 0, blank is 4.
client\src\hooks\useStrings.ts, code is 13, comment is 0, blank is 5.
client\src\interfaces\quiz.ts, code is 40, comment is 0, blank is 3.
client\src\interfaces\user.ts, code is 12, comment is 2, blank is 2.
client\src\language\de-DE.ts, code is 25, comment is 1, blank is 5.
client\src\language\en-US.ts, code is 26, comment is 2, blank is 5.
client\src\language\es-ES.ts, code is 25, comment is 1, blank is 5.
client\src\language\it-IT.ts, code is 25, comment is 1, blank is 5.
client\src\language\nb-NO.ts, code is 25, comment is 1, blank is 5.
client\src\language\template.txt, code is 25, comment is 1, blank is 5.
client\src\language\translator.ts, code is 3, comment is 0, blank is 0.
client\src\layout\container.tsx, code is 9, comment is 0, blank is 2.
client\src\layout\cookies.tsx, code is 52, comment is 0, blank is 8.
client\src\layout\footer.tsx, code is 44, comment is 0, blank is 3.
client\src\layout\index.tsx, code is 28, comment is 0, blank is 4.
client\src\layout\loading.tsx, code is 8, comment is 0, blank is 1.
client\src\layout\navigation.tsx, code is 487, comment is 16, blank is 40.
client\src\layout\promote.tsx, code is 72, comment is 0, blank is 7.
client\src\layout\sidemenu.tsx, code is 316, comment is 14, blank is 5.
client\src\layout\wrapper.tsx, code is 33, comment is 9, blank is 13.
client\src\local.settings.json, code is 5, comment is 0, blank is 0.
client\src\main.tsx, code is 26, comment is 0, blank is 4.
client\src\pages\discover\components\fullset.tsx, code is 8, comment is 0, blank is 1.
client\src\pages\discover\components\preview.tsx, code is 172, comment is 6, blank is 8.
client\src\pages\discover\index.tsx, code is 410, comment is 0, blank is 25.
client\src\pages\error\401.tsx, code is 93, comment is 0, blank is 2.
client\src\pages\error\403.tsx, code is 93, comment is 0, blank is 3.
client\src\pages\error\404.tsx, code is 104, comment is 0, blank is 2.
client\src\pages\error\index.tsx, code is 17, comment is 0, blank is 4.
client\src\pages\home\components\hero.tsx, code is 99, comment is 1, blank is 10.
client\src\pages\home\index.tsx, code is 9, comment is 0, blank is 2.
client\src\pages\leaderboard\components\playerCol.tsx, code is 34, comment is 0, blank is 4.
client\src\pages\leaderboard\components\table.tsx, code is 18, comment is 2, blank is 5.
client\src\pages\leaderboard\index.tsx, code is 101, comment is 0, blank is 14.
client\src\pages\legal\credits.tsx, code is 42, comment is 1, blank is 7.
client\src\pages\legal\index.tsx, code is 5, comment is 0, blank is 2.
client\src\pages\legal\packages.tsx, code is 10, comment is 0, blank is 2.
client\src\pages\legal\privacy.tsx, code is 10, comment is 0, blank is 2.
client\src\pages\legal\terms.tsx, code is 10, comment is 0, blank is 3.
client\src\pages\profile\components\DeleteAccount.tsx, code is 59, comment is 1, blank is 6.
client\src\pages\profile\components\empty.tsx, code is 34, comment is 0, blank is 2.
client\src\pages\profile\index.tsx, code is 3, comment is 0, blank is 1.
client\src\pages\profile\profile.tsx, code is 21, comment is 0, blank is 4.
client\src\pages\profile\settings.tsx, code is 16, comment is 0, blank is 3.
client\src\pages\quiz\components\empty.tsx, code is 28, comment is 0, blank is 2.
client\src\pages\quiz\index.tsx, code is 20, comment is 0, blank is 5.
client\src\pages\test\index.tsx, code is 51, comment is 1, blank is 13.
client\src\routes\Auth.tsx, code is 25, comment is 1, blank is 6.
client\src\routes\index.ts, code is 4, comment is 0, blank is 1.
client\src\routes\paths.ts, code is 50, comment is 1, blank is 6.
client\src\routes\router.tsx, code is 34, comment is 8, blank is 12.
client\src\store\index.ts, code is 17, comment is 0, blank is 4.
client\src\store\reducers\filterReducer.ts, code is 40, comment is 0, blank is 5.
client\src\store\reducers\gameReducer.ts, code is 0, comment is 0, blank is 0.
client\src\store\reducers\languageReducer.ts, code is 41, comment is 0, blank is 5.
client\src\store\reducers\quizReducer.ts, code is 0, comment is 0, blank is 0.
client\src\store\reducers\themeReducer.ts, code is 22, comment is 1, blank is 4.
client\src\test\App.test.tsx, code is 0, comment is 19, blank is 4.
client\src\utils\history.ts, code is 2, comment is 0, blank is 0.
client\src\vite-env.d.ts, code is 0, comment is 1, blank is 0.
client\tailwind.config.js, code is 39, comment is 1, blank is 0.
client\tsconfig.json, code is 21, comment is 2, blank is 2.
client\tsconfig.node.json, code is 11, comment is 0, blank is 0.
client\vite.config.ts, code is 5, comment is 1, blank is 1.
package-lock.json, code is 1050, comment is 0, blank is 0.
package.json, code is 6, comment is 0, blank is 0.
README.md, code is 1, comment is 0, blank is 0.
server\.env, code is 4, comment is 1, blank is 1.
server\.prettierrc, code is 11, comment is 0, blank is 0.
server\index.ts, code is 6, comment is 19, blank is 4.
server\local.settings.json, code is 7, comment is 0, blank is 0.
server\logs\.5f80452cd706cb705eb9f873e8a0f34e8d0a9993-audit.json, code is 25, comment is 0, blank is 0.
server\logs\2024-05-10.log, it is a binary file.
server\logs\2024-05-11.log, it is a binary file.
server\logs\2024-05-16.log, it is a binary file.
server\package-lock.json, code is 2025, comment is 0, blank is 0.
server\package.json, code is 31, comment is 0, blank is 0.
server\server.log, it is a binary file.
